ripgrep 14.1.0-1
rtkit 0.13-3
rubberband 3.3.0-2
runc 1.1.13-1
sbc 2.0-2
scour 0.38.2-4
scrot 1.11.1-1
sddm 0.21.0-4
sddm-kcm 6.1.4-1
sdl2 2.30.6-1
sed 4.9-3
serd 0.32.2-1
shaderc 2024.1-1
shadow 4.16.0-1
shared-mime-info 2.4-1
slang 2.3.3-3
slock 1.5-3
smartmontools 7.4-2
smbclient 4.20.4-1
snappy 1.1.10-1
solid 6.4.0-1
solid5 5.116.0-1
sonnet 6.4.0-1
sonnet5 5.116.0-1
sord 0.16.16-1
sound-theme-freedesktop 0.8-6
soundtouch 2.3.3-1
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 2024.2-1
sqlite 3.46.1-1
sratom 0.6.16-1
srt 1.5.3-2
startup-notification 0.12-8
sudo 1.9.15.p5-2
suil 0.10.20-1
suitesparse 7.7.0-2
svt-av1 2.1.2-1
syndication 6.4.0-1
syndication5 5.116.0-1
syntax-highlighting 6.4.0-1
syntax-highlighting5 5.116.0-1
systemd 256.4-1
systemd-libs 256.4-1
systemd-sysvcompat 256.4-1
systemsettings 6.1.4-1
taglib 2.0.1-1
talloc 2.4.2-3
tar 1.35-2
tdb 1.4.12-1
terminus-font 4.49.1-7
tevent 1:0.16.1-3
texinfo 7.1-2
threadweaver5 5.116.0-1
tpm2-tss 4.0.1-1
tracker3 3.7.3-2
tree-sitter 0.22.6-1
tree-sitter-bash 0.21.0-2
tree-sitter-c 0.21.4-1
tree-sitter-lua 0.1.0-2
tree-sitter-markdown 0.2.3-2
tree-sitter-python 0.21.0-2
tree-sitter-query 0.4.0-1
tree-sitter-vim 0.4.0-1
tree-sitter-vimdoc 3.0.0-1
tslib 1.23-1
ttf-hack 3.003-7
ttf-liberation 2.1.5-2
twolame 0.4.0-4
tzdata 2024a-2
udisks2 2.10.1-4
unibilium 2.1.1-2
unrar 1:7.0.9-1
unzip 6.0-21
upower 1.90.4-1
usbmuxd 1.1.1-4
